id_of_medicines,medicine_name,dosage_of_the_medicine,distributer_manufacturer,presentation_of_the _medicine,composition_of_the_medicine,therapeutic_class,status_of_the_medicine_commercialized_or_not,code_atc_of_the_medicine,price_of_the_medicine_in_dirhams,indications_of_the_medicine
1,"LESCOL LP 80 MG, Comprimé pelliculé",80 MG,LAPROPHAN,Boîte de 14,Fluvastatine,Hypolipémiant,Commercialisé,C10AA04,ppv 190.00 dhs,"Dyslipidémie
Adultes:
Diminution des concentrations anormalement élevées de cholestérol total, de cholestérol LDL, d'apolipoprotéine B et de triglycérides ainsi qu'augmentation du cholestérol HDL chez les adultes atteints d'une hypercholestérolémie primaire ou d'une dyslipidémie mixte primaire (de type IIa ou IIb selon Fredrickson) insuffisamment contrôlée par les mesures diététiques.
Enfants et adolescents:
Diminution des concentrations anormalement élevées de cholestérol total, de cholestérol LDL, d'apolipoprotéine B et de triglycérides ainsi qu'augmentation du cholestérol HDL chez les garçons (9-16 ans) et les filles ayant eu la première menstruation (10-16 ans), atteints d'une hypercholestérolémie familiale hétérozygote insuffisamment contrôlée par les mesures diététiques.
Autres indications:
Chez les adultes atteints de coronaropathie, pour réduire le risque d'une nouvelle intervention de revascularisation coronarienne.
Ajouté le: 28 juin 2021 à 18:02
Mise à jour le: 2 août 2021 à 08:16
Signaler une erreur ou un oubli
Facebook
Twitter
E-Mail
WhatsApp
Important
Malgré tous les efforts fournis par notre équipe, certains médicaments peuvent figurer sur la base medicament.ma et ne pas être disponibles sur le marché marocain. Ceci peut être le cas dans plusieurs situations :
- un décalage entre l'octroi de l'AMM au laboratoire et son lancement ou sa disponibilité effective,
- une rupture de stock courte ou prolongée,
- ou une décision d’arrêt du produit par le laboratoire qui nous a pas été communiquée.
Certains médicaments peuvent être commercialisés sur le marché marocain et ne pas figurer sur la base medicament.ma. Une fois notre rédaction reçoit l’information, les mises à jour nécessaires sont effectuées sur le champ.
Par conséquent,
seul votre pharmacien est capable de vous renseigner au sujet de la disponibilité d’un médicament au Maroc
à un instant donné, soit directement ou après vérification auprès de son grossiste.
N’hésitez pas à nous envoyer vos remarques pour que nous puissions continuer à améliorer la base medicament.ma pour mieux vous servir.
Rédaction
Accueil
Contact
Qui sommes-nous?
Laboratoires
Répartiteurs
Partenaires
Adresses utiles
Pharmacie.ma
Pharmanews
Ministère de la santé
ANAM
CNOPS
RAMED
CNSS
ANSM
CRAT
HAS
EMA
FDA
Dernière mise à jour
29 mai 2025
Nombre de références
5432
medicament.ma © 2025 - Droits reservés -
Conditions d'utilisation"
2,"ALFAMOX 125 MG / 5ML, Poudre pour suspension buvable",125 MG | 5ML,PHARMA5,2 flacons de 60 ML,Amoxicilline,"Antibiotique, pénicilline à large spectre",Commercialisé,J01CA04,ppv 24.90 dhs,"L’amoxicilline est indiquée pour le traitement des infections dues aux germes Gram négatifs sensibles à l'amoxicilline, de même que dans le traitement des infections mixtes dues à des germes sensibles Gram positifs et Gram négatifs, tels que:
Infections des voies respiratoires:
Exacerbations aiguës de bronchites chroniques, pneumonie bactérienne, bronchectasies, abcès pulmonaire, empyème.
Infections de la sphère ORL:
Otite moyenne, sinusite, amygdalite, pharyngite (due aux streptocoques).
Infections des voies urinaires:
Pyélonéphrite aiguë ou chronique, cystite, urétrite.
Infections de l'appareil gastro-intestinal:
Fièvres typhoïde et paratyphoïde, diarrhée bactérienne.
Affections vénériennes:
Gonorrhée (urétrite spécifique).
Infections sévères telles que:
septicémie,
avortement septique,
fièvre puerpérale,
endocardite,
phlegmon,
méningite,
de même que maladie de Lyme (stade I, érythème chronique migrateur ou érythème chronique migrateur associé à des symptômes articulaires fugaces ou à des manifestations neurologiques fugaces ou limitées).
Les recommandations officielles pour un emploi adéquat des antibiotiques devraient être respectées, notamment les recommandations d'utilisation, afin d'éviter une augmentation des résistances aux antibiotiques."
3,"GALVUS 50 MG, Comprimé","50 MG
Princeps
Oui",NOVARTIS PHARMA MAROC,Boite de 60,Vildagliptine,Antidiabétique: inhibiteur de la dipeptidyl peptidase-4 (DPP-4),Commercialisé,A10BH02,ppv 390.00 dhs,"La vildagliptine est indiquée dans le traitement du diabète de type 2 chez l’adulte :
En monothérapie
- chez les patients dont le contrôle glycémique est insuffisant malgré un régime alimentaire et l'exercice physique seuls et pour lesquels la metformine n’est pas appropriée en raison d’une intolérance ou d’une contre-indication.
En bithérapie orale, en association avec
- la metformine, chez les patients dont le contrôle glycémique est insuffisant malgré une dose maximale tolérée de metformine en monothérapie,
- un sulfamide hypoglycémiant, chez les patients dont le contrôle glycémique est insuffisant malgré une dose maximale tolérée de sulfamide hypoglycémiant, et pour lesquels la metformine n’est pas appropriée en raison d’une intolérance ou d’une contre-indication,
- une thiazolidinedione, chez les patients dont le contrôle glycémique est insuffisant et pour lesquels l’utilisation d’une thiazolidinedione est appropriée.
En trithérapie orale, en association avec
- un sulfamide hypoglycémiant et la metformine lorsqu’une bithérapie avec ces médicaments et un régime alimentaire et l’exercice physique ne permettent pas un contrôle glycémique suffisant.
La vildagliptine est également indiquée en association à l’insuline (avec ou sans metformine) lorsqu’une dose stable d’insuline avec un régime alimentaire et l’exercice physique ne permet pas un contrôle glycémique suffisant."
4,"CO-VEPRAN 150 MG / 12.5 MG, Comprimé",150 MG | 12.5 MG,SOTHEMA,Boite de 28,Irbesartan | Hydrchlorothiazide,Antihypertenseur : Association de diurétique et de Antagoniste sélectif des récepteurs de l'angiotensine II,Commercialisé,C09DA04,ppv 124.00 dhs,"Traitement de l'hypertension artérielle essentielle lorsque l'effet d'une monothérapie reste insuffisant.
Traitement initial en cas d'hypertension prononcée, lorsqu'un contrôle rapide de la pression artérielle (en termes de jours ou de semaines) est de première importance clinique."
5,"LD-NOR 10 MG, Comprimé pelliculé",10 MG,COOPER PHARMA,Boite de 30,Atorvastatine,"Hypolipémiant, inhibiteur de la HMG-CoA réductase",Commercialisé,C10AA05,ppv 57.80 dhs,"- Hypercholestérolémie
L’ATORVASTATINE est indiquée en complément d’un régime pour réduire les taux élevés de cholestérol total (Chol-T), de LDL-cholestérol (LDL-C), d’apolipoprotéine B et de triglycérides chez les adultes, adolescents et enfants âgés de 10 ans ou plus présentant une hypercholestérolémie primaire incluant l’hypercholestérolémie familiale (hétérozygote) ou les hyperlipidémies mixtes (correspondant aux types IIa et IIb de la classification de Fredrickson), lorsque la réponse à un régime ou à d’autres traitements non pharmacologiques n’est pas suffisante.
L’ATORVASTATINE est aussi indiquée pour réduire les taux de Chol-T et de LDL-C chez les adultes présentant une hypercholestérolémie familiale homozygote en complément d’autres traitements hypolipidémiants (notamment l’aphérèse des LDL) ou si de tels traitements sont indisponibles.
- Prévention des maladies cardiovasculaires
Prévention des évènements cardiovasculaires chez les patients adultes ayant un risque élevé de présenter un premier événement cardiovasculaire, en complément de la correction des autres facteurs de risque.
Ajouté le: 14 septembre 2015 à 10:21
Mise à jour le: 4 novembre 2024 à 15:26
Signaler une erreur ou un oubli
Facebook
Twitter
E-Mail
WhatsApp
Important
Malgré tous les efforts fournis par notre équipe, certains médicaments peuvent figurer sur la base medicament.ma et ne pas être disponibles sur le marché marocain. Ceci peut être le cas dans plusieurs situations :
- un décalage entre l'octroi de l'AMM au laboratoire et son lancement ou sa disponibilité effective,
- une rupture de stock courte ou prolongée,
- ou une décision d’arrêt du produit par le laboratoire qui nous a pas été communiquée.
Certains médicaments peuvent être commercialisés sur le marché marocain et ne pas figurer sur la base medicament.ma. Une fois notre rédaction reçoit l’information, les mises à jour nécessaires sont effectuées sur le champ.
Par conséquent,
seul votre pharmacien est capable de vous renseigner au sujet de la disponibilité d’un médicament au Maroc
à un instant donné, soit directement ou après vérification auprès de son grossiste.
N’hésitez pas à nous envoyer vos remarques pour que nous puissions continuer à améliorer la base medicament.ma pour mieux vous servir.
Rédaction
Accueil
Contact
Qui sommes-nous?
Laboratoires
Répartiteurs
Partenaires
Adresses utiles
Pharmacie.ma
Pharmanews
Ministère de la santé
ANAM
CNOPS
RAMED
CNSS
ANSM
CRAT
HAS
EMA
FDA
Dernière mise à jour
29 mai 2025
Nombre de références
5432
medicament.ma © 2025 - Droits reservés -
Conditions d'utilisation"
6,"EPIRUBICINE MYLAN 2 MG / ML, Solution à diluer pour perfusion",2 MG / ML,SYNTHEMEDIC,Boite de 1 flacon,Epirubicine,"Antinéoplasique, antibiotique cytotoxique (dérivé d'anthracycline)",Commercialisé,L01DB03,ppv 74.40 dhs,"Traitement adjuvant du carcinome mammaire au stade précoce.
Traitement du carcinome mammaire au stade avancé.
Traitement du/des lymphomes malins, sarcome des parties molles, carcinome de l'estomac, carcinome bronchique, carcinome de l'ovaire.
Instillation intravésicale pour traiter et prévenir les récidives de papillomatoses carcinomateuses vésicales superficielles après résection transurétrale."
7,"UMULINE NPH KWIKPEN 100 UI / ML, Suspension injectable stylo pré-rempli [Ins]","100 UI / ML
Princeps
Oui",SOTHEMA,Stylo pré-rempli de 3 ml,Insuline humaine,Insuline,Commercialisé,A10,ppv 104.00 dhs,"Traitement des patients atteints de diabète nécessitant un traitement par insuline pour maintenir un équilibre glycémique normal.
Conservation
Avant la première utilisation, conserver votre Humalog au réfrigérateur (entre 2°C et 8°C). Ne pas congeler. Conserver votre flacon en cours d’utilisation au réfrigérateur (entre 2°C et 8°C) ou à température ambiante (jusqu’à 30°C) et jeter-le après 28 jours. Ne pas exposer à une chaleur excessive ou au soleil."
8,"IRESSA 250 MG, Comprimé pelliculé","250 MG
Princeps
Oui",MAPHAR,Boite de 30,Géfitinib,Inhibiteurs de protéine kinase antinéoplasiques,Commercialisé,L01XE02,ppv 16063.00 dhs,Géfitinib est indiqué chez les adultes dans le traitement du cancer bronchique non à petites cellules (CBNPC) localement avancé ou métastatique avec mutations activatrices de l'EGFR-TK.
9,"ASPIRINE VITAMINÉE TAMPONNÉE, Comprimé effervescent",500 MG | 0.02 G | 0.02 G,LAPROPHAN,Boîte de 10,Acide acetylsalicylique | Vitamine C | Vitamine B1,"Analgésique , antipyrétique",Commercialisé,N02BA51,ppv 11.50 dhs,Douleurs et fièvre; symptômes grippaux (association à base d'aspirine).
10,"ABIP 15 MG, Comprimé pelliculé [P]",15 MG,KEMIPHARM,Boite de 20,Aripiprazole,Neuroleptique atypique,Commercialisé,N05AX12,ppv 268.00 dhs,"L’aripiprazole est indiqué dans le traitement de la schizophrénie chez les adultes et les adolescents âgé de 15 ans ou plus. L’aripiprazole est indiqué dans le traitement des épisodes maniaques modérés à sévères des troubles bipolaires de type I et dans la prévention de récidives d’épisodes maniaques chez l'adulte ayant présenté des épisodes à prédominance maniaque et pour qui les épisodes maniaques ont répondu à un traitement par l’aripiprazole. L’aripiprazole est indiqué dans le traitement des épisodes maniaques modérés à sévères des troubles bipolaires de type I chez l'adolescent âgé de 13 ans ou plus pour une durée allant jusqu’à 12 semaines.
Traitement des épisodes maniaques modérés à sévères des troubles bipolaires de type I chez l'adolescent âgé de 13 ans ou plus
Substance (s) psychoactive (s)
Oui
Ajouté le: 17 octobre 2023 à 09:15
Mise à jour le: 12 mai 2025 à 18:01
Signaler une erreur ou un oubli
Facebook
Twitter
E-Mail
WhatsApp
Important
Malgré tous les efforts fournis par notre équipe, certains médicaments peuvent figurer sur la base medicament.ma et ne pas être disponibles sur le marché marocain. Ceci peut être le cas dans plusieurs situations :
- un décalage entre l'octroi de l'AMM au laboratoire et son lancement ou sa disponibilité effective,
- une rupture de stock courte ou prolongée,
- ou une décision d’arrêt du produit par le laboratoire qui nous a pas été communiquée.
Certains médicaments peuvent être commercialisés sur le marché marocain et ne pas figurer sur la base medicament.ma. Une fois notre rédaction reçoit l’information, les mises à jour nécessaires sont effectuées sur le champ.
Par conséquent,
seul votre pharmacien est capable de vous renseigner au sujet de la disponibilité d’un médicament au Maroc
à un instant donné, soit directement ou après vérification auprès de son grossiste.
N’hésitez pas à nous envoyer vos remarques pour que nous puissions continuer à améliorer la base medicament.ma pour mieux vous servir.
Rédaction
Accueil
Contact
Qui sommes-nous?
Laboratoires
Répartiteurs
Partenaires
Adresses utiles
Pharmacie.ma
Pharmanews
Ministère de la santé
ANAM
CNOPS
RAMED
CNSS
ANSM
CRAT
HAS
EMA
FDA
Dernière mise à jour
29 mai 2025
Nombre de références
5432
medicament.ma © 2025 - Droits reservés -
Conditions d'utilisation"
